Time (s),First Order System Output Open Loop,First Order System Output Closed Loop,Second Order System Output Open Loop,Second Order System Output Closed Loop,Integrator Output Open Loop,Integrator Output Closed Loop,Sinus,Noisy Fisrt Order,Derivative,Prev Err,Curr Err,Filter in,Filter out,Filter BW out
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.001000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.006283, 0.000628, 0.000000, 0.000000, 0.000000, 0.074369, 0.001150, 0.000018
0.002000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.012566, 0.001257, 0.000000, 0.000000, 0.000000, 0.142687, 0.004471, 0.000105
0.003000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.018848, 0.001885, 0.000000, 0.000000, 0.000000, 0.199494, 0.009625, 0.000324
0.004000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.025130, 0.002513, 0.000000, 0.000000, 0.000000, 0.240456, 0.016131, 0.000721
0.005000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.031411, 0.003141, 0.000000, 0.000000, 0.000000, 0.262791, 0.023415, 0.001329
0.006000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.037690, 0.003769, 0.000000, 0.000000, 0.000000, 0.265538, 0.030861, 0.002157
0.007000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.043968, 0.004397, 0.000000, 0.000000, 0.000000, 0.249655, 0.037874, 0.003199
0.008000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.050244, 0.005024, 0.000000, 0.000000, 0.000000, 0.217919, 0.043934, 0.004430
0.009000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.056519, 0.005652, 0.000000, 0.000000, 0.000000, 0.174660, 0.048646, 0.005811
0.010000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.062791, 0.006279, 0.000000, 0.000000, 0.000000, 0.125333, 0.051781, 0.007293
0.011000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.069060, 0.006906, 0.000000, 0.000000, 0.000000, 0.075987, 0.053293, 0.008825
0.012000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.075327, 0.007533, 0.000000, 0.000000, 0.000000, 0.032668, 0.053325, 0.010356
0.013000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.081591, 0.008159, 0.000000, 0.000000, 0.000000, 0.000834, 0.052193, 0.011846
0.014000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.087851, 0.008785, 0.000000, 0.000000, 0.000000, -0.015188, 0.050357, 0.013263
0.015000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.094108, 0.009411, 0.000000, 0.000000, 0.000000, -0.012619, 0.048370, 0.014596
0.016000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.100362, 0.010036, 0.000000, 0.000000, 0.000000, 0.009499, 0.046825, 0.015850
0.017000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.106611, 0.010661, 0.000000, 0.000000, 0.000000, 0.050204, 0.046300, 0.017048
0.018000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.112856, 0.011286, 0.000000, 0.000000, 0.000000, 0.106714, 0.047295, 0.018229
0.019000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.119097, 0.011910, 0.000000, 0.000000, 0.000000, 0.174696, 0.050184, 0.019447
0.020000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.125333, 0.012533, 0.000000, 0.000000, 0.000000, 0.248690, 0.055180, 0.020764
0.021000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.131564, 0.013156, 0.000000, 0.000000, 0.000000, 0.322645, 0.062309, 0.022243
0.022000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.137790, 0.013779, 0.000000, 0.000000, 0.000000, 0.390509, 0.071410, 0.023947
0.023000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.144011, 0.014401, 0.000000, 0.000000, 0.000000, 0.446823, 0.082151, 0.025927
0.024000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.150226, 0.015023, 0.000000, 0.000000, 0.000000, 0.487253, 0.094056, 0.028224
0.025000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.156434, 0.015643, 0.000000, 0.000000, 0.000000, 0.509017, 0.106554, 0.030860
0.026000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.162637, 0.016264, 0.000000, 0.000000, 0.000000, 0.511155, 0.119035, 0.033838
0.027000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.168833, 0.016883, 0.000000, 0.000000, 0.000000, 0.494623, 0.130908, 0.037143
0.028000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.175023, 0.017502, 0.000000, 0.000000, 0.000000, 0.462200, 0.141656, 0.040742
0.029000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.181206, 0.018121, 0.000000, 0.000000, 0.000000, 0.418215, 0.150890, 0.044589
0.030000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.187381, 0.018738, 0.000000, 0.000000, 0.000000, 0.368124, 0.158384, 0.048628
0.031000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.193549, 0.019355, 0.000000, 0.000000, 0.000000, 0.317976, 0.164096, 0.052799
0.032000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.199710, 0.019971, 0.000000, 0.000000, 0.000000, 0.273817, 0.168172, 0.057047
0.033000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.205863, 0.020586, 0.000000, 0.000000, 0.000000, 0.241103, 0.170934, 0.061322
0.034000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.212007, 0.021201, 0.000000, 0.000000, 0.000000, 0.224164, 0.172842, 0.065589
0.035000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.218143, 0.021814, 0.000000, 0.000000, 0.000000, 0.225779, 0.174455, 0.069828
0.036000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.224271, 0.022427, 0.000000, 0.000000, 0.000000, 0.246904, 0.176369, 0.074038
0.037000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.230389, 0.023039, 0.000000, 0.000000, 0.000000, 0.286579, 0.179164, 0.078236
0.038000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.236499, 0.023650, 0.000000, 0.000000, 0.000000, 0.342022, 0.183344, 0.082457
0.039000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.242599, 0.024260, 0.000000, 0.000000, 0.000000, 0.408900, 0.189286, 0.086748
0.040000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.248690, 0.024869, 0.000000, 0.000000, 0.000000, 0.481753, 0.197205, 0.091165
0.041000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.254771, 0.025477, 0.000000, 0.000000, 0.000000, 0.554530, 0.207132, 0.095766
0.042000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.260841, 0.026084, 0.000000, 0.000000, 0.000000, 0.621179, 0.218908, 0.100610
0.043000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.266902, 0.026690, 0.000000, 0.000000, 0.000000, 0.676242, 0.232202, 0.105742
0.044000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.272952, 0.027295, 0.000000, 0.000000, 0.000000, 0.715385, 0.246541, 0.111199
0.045000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.278991, 0.027899, 0.000000, 0.000000, 0.000000, 0.735827, 0.261359, 0.116996
0.046000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.285019, 0.028502, 0.000000, 0.000000, 0.000000, 0.736606, 0.276046, 0.123135
0.047000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.291036, 0.029104, 0.000000, 0.000000, 0.000000, 0.718680, 0.290014, 0.129595
0.048000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.297041, 0.029704, 0.000000, 0.000000, 0.000000, 0.684827, 0.302749, 0.136338
0.049000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.303035, 0.030304, 0.000000, 0.000000, 0.000000, 0.639377, 0.313864, 0.143315
0.050000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.309017, 0.030902, 0.000000, 0.000000, 0.000000, 0.587787, 0.323134, 0.150467
